,Strategy,
1995-02-03 00:00:00,-0.000351692,
1995-02-06 00:00:00,-0.000382717,
1995-02-07 00:00:00,0.001053983,
1995-02-08 00:00:00,-0.004076651,
1995-02-09 00:00:00,-0.000639609,
1995-02-10 00:00:00,-0.000778414,
1995-02-13 00:00:00,-0.001375577,
1995-02-14 00:00:00,-0.001366994,
1995-02-15 00:00:00,0.000154267,
1995-02-16 00:00:00,-0.009177977,
1995-02-17 00:00:00,-0.004427032,
1995-02-20 00:00:00,-0.003093818,
1995-02-21 00:00:00,0.006111147,
1995-02-22 00:00:00,-0.004282917,
1995-02-23 00:00:00,0.000731168,
1995-02-24 00:00:00,0.000279831,
1995-02-27 00:00:00,-0.00210686,
1995-02-28 00:00:00,-0.000840657,
1995-03-01 00:00:00,-0.000626383,
1995-03-02 00:00:00,-0.004018312,
1995-03-03 00:00:00,-0.006848413,
1995-03-06 00:00:00,-0.01534984,
1995-03-07 00:00:00,-0.006384999,
1995-03-08 00:00:00,0.005758423,
1995-03-09 00:00:00,-0.002077371,
1995-03-10 00:00:00,0.006048367,
1995-03-13 00:00:00,-0.002339162,
1995-03-14 00:00:00,0.001885582,
1995-03-15 00:00:00,-0.005731251,
1995-03-16 00:00:00,0.003163182,
1995-03-17 00:00:00,-0.007090504,
1995-03-20 00:00:00,0.001964667,
1995-03-21 00:00:00,0.005425395,
1995-03-22 00:00:00,-0.003377166,
1995-03-23 00:00:00,-0.000509062,
1995-03-24 00:00:00,0.005196613,
1995-03-27 00:00:00,-0.004384068,
1995-03-28 00:00:00,-0.002009869,
1995-03-29 00:00:00,-0.003962272,
1995-03-30 00:00:00,0.009731295,
1995-03-31 00:00:00,-0.011448447,
1995-04-03 00:00:00,0.000933769,
1995-04-04 00:00:00,0.00344061,
1995-04-05 00:00:00,0.000929276,
1995-04-06 00:00:00,-0.000419008,
1995-04-07 00:00:00,0.000678942,
1995-04-10 00:00:00,0.007904671,
1995-04-11 00:00:00,0.001021155,
1995-04-12 00:00:00,0.000794876,
1995-04-13 00:00:00,-7.63274E-05,
1995-04-14 00:00:00,8.44251E-05,
1995-04-17 00:00:00,-0.000646837,
1995-04-18 00:00:00,-0.002990374,
1995-04-19 00:00:00,-0.003268834,
1995-04-20 00:00:00,0.003691289,
1995-04-21 00:00:00,0.002298066,
1995-04-24 00:00:00,-0.003495739,
1995-04-25 00:00:00,0.000219433,
1995-04-26 00:00:00,0.004041408,
1995-04-27 00:00:00,-0.000436516,
1995-04-28 00:00:00,0.001514226,
1995-05-01 00:00:00,0.000128615,
1995-05-02 00:00:00,-0.001757471,
1995-05-03 00:00:00,0.000425046,
1995-05-04 00:00:00,0.001023984,
1995-05-05 00:00:00,0.001046402,
1995-05-08 00:00:00,-0.000223395,
1995-05-09 00:00:00,-0.002422852,
1995-05-10 00:00:00,0.003809171,
1995-05-11 00:00:00,0.004462199,
1995-05-12 00:00:00,0.007978279,
1995-05-15 00:00:00,-0.001063598,
1995-05-16 00:00:00,-0.001404413,
1995-05-17 00:00:00,-9.94097E-05,
1995-05-18 00:00:00,0.000269026,
1995-05-19 00:00:00,-0.001635172,
1995-05-22 00:00:00,0.001514434,
1995-05-23 00:00:00,-0.001702918,
1995-05-24 00:00:00,0.00098239,
1995-05-25 00:00:00,-0.003156713,
1995-05-26 00:00:00,-0.005657585,
1995-05-29 00:00:00,0.000370071,
1995-05-30 00:00:00,0.000616851,
1995-05-31 00:00:00,0.002360425,
1995-06-01 00:00:00,0.001745261,
1995-06-02 00:00:00,-0.002079304,
1995-06-05 00:00:00,0.000176581,
1995-06-06 00:00:00,0.001449772,
1995-06-07 00:00:00,-0.001292957,
1995-06-08 00:00:00,0.002403659,
1995-06-09 00:00:00,-0.001975893,
1995-06-12 00:00:00,-0.001137214,
1995-06-13 00:00:00,0.000402288,
1995-06-14 00:00:00,0.001227848,
1995-06-15 00:00:00,0.002091755,
1995-06-16 00:00:00,-0.000151904,
1995-06-19 00:00:00,-0.000489094,
1995-06-20 00:00:00,-0.000909103,
1995-06-21 00:00:00,-0.000187715,
1995-06-22 00:00:00,-0.00081821,
1995-06-23 00:00:00,-4.88894E-05,
1995-06-26 00:00:00,-0.00084483,
1995-06-27 00:00:00,-0.002048276,
1995-06-28 00:00:00,0.002254642,
1995-06-29 00:00:00,0.000532284,
1995-06-30 00:00:00,-0.00130865,
1995-07-03 00:00:00,0.000369644,
1995-07-04 00:00:00,0.000105732,
1995-07-05 00:00:00,9.21623E-05,
1995-07-06 00:00:00,0.000730554,
1995-07-07 00:00:00,0.007227401,
1995-07-10 00:00:00,0.002570368,
1995-07-11 00:00:00,0.001622238,
1995-07-12 00:00:00,0.002835525,
1995-07-13 00:00:00,0.00268159,
1995-07-14 00:00:00,0.000171065,
1995-07-17 00:00:00,0.004640268,
1995-07-18 00:00:00,-0.001928909,
1995-07-19 00:00:00,-0.001803982,
1995-07-20 00:00:00,-0.001171331,
1995-07-21 00:00:00,0.003974695,
1995-07-24 00:00:00,-0.002951371,
1995-07-25 00:00:00,0.001876143,
1995-07-26 00:00:00,0.002078335,
1995-07-27 00:00:00,0.000767078,
1995-07-28 00:00:00,0.001437194,
1995-07-31 00:00:00,-3.65717E-06,
1995-08-01 00:00:00,-6.77667E-05,
1995-08-02 00:00:00,0.009903948,
1995-08-03 00:00:00,0.000455992,
1995-08-04 00:00:00,0.003761462,
1995-08-07 00:00:00,-0.000546638,
